Product Name,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Product Category,Product Department,Storage Cost
"Polar FT4 Heart Rate Monitor",2017-12-01 00:00:00.000,0,1.91129,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2017-12-01 00:00:00.000,0,0.35075,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-12-01 00:00:00.000,0,2.08941,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2017-12-01 00:00:00.000,0,1.59059,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2017-12-01 00:00:00.000,0,2.27348,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-12-01 00:00:00.000,0,1.04738,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-12-01 00:00:00.000,0,0.23621,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2017-11-01 00:00:00.000,0,1.77867,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2017-11-01 00:00:00.000,0,1.56387,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-11-01 00:00:00.000,0,1.04173,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2017-11-01 00:00:00.000,0,1.46056,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-11-01 00:00:00.000,0,2.32042,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-11-01 00:00:00.000,0,1.4785,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2017-10-01 00:00:00.000,0,1.1344,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2017-10-01 00:00:00.000,0,0.41727,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-10-01 00:00:00.000,0,0.96631,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2017-10-01 00:00:00.000,0,1.8096,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2017-10-01 00:00:00.000,0,1.61345,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-10-01 00:00:00.000,0,0.16798,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-08-01 00:00:00.000,0,0.41841,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-08-01 00:00:00.000,0,1.73782,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-08-01 00:00:00.000,0,0.75699,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-07-01 00:00:00.000,0,0.12367,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-07-01 00:00:00.000,0,1.06817,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-07-01 00:00:00.000,0,1.0542,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-06-01 00:00:00.000,0,1.0388,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-06-01 00:00:00.000,0,0.53669,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-06-01 00:00:00.000,0,1.24044,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-05-01 00:00:00.000,0,2.26298,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2017-05-01 00:00:00.000,0,1.99227,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2017-05-01 00:00:00.000,0,1.21978,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-05-01 00:00:00.000,0,0.46402,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-05-01 00:00:00.000,0,1.92208,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2017-04-01 00:00:00.000,0,1.02079,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2017-04-01 00:00:00.000,0,1.35022,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-04-01 00:00:00.000,0,1.77112,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2017-04-01 00:00:00.000,0,0.69638,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-04-01 00:00:00.000,0,1.426,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-04-01 00:00:00.000,0,0.19279,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2017-03-01 00:00:00.000,0,1.4583,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-03-01 00:00:00.000,0,1.15999,"Kids' Golf Clubs","Outdoors",0
